model_name,model_type,input_window,output_window,mae_train,mae_val,mae_test,n_params
GRU_deep,recurrent,5,1,0.011448,0.011538,0.012373,101655
GRU_deep,recurrent,5,5,0.005316,0.005351,0.005611,101655
GRU_deep,recurrent,5,30,0.002175,0.002147,0.002339,101655
GRU_deep,recurrent,5,90,0.001228,0.001275,0.001289,101655
GRU_deep,recurrent,10,1,0.011429,0.011739,0.012515,101655
GRU_deep,recurrent,10,5,0.005255,0.005246,0.005812,101655
GRU_deep,recurrent,10,30,0.002145,0.002117,0.002346,101655
GRU_deep,recurrent,10,90,0.001216,0.001244,0.001364,101655
GRU_deep,recurrent,30,1,0.011457,0.011665,0.012311,101655
GRU_deep,recurrent,30,5,0.005058,0.005115,0.005892,101655
GRU_deep,recurrent,30,30,0.001918,0.001919,0.002472,101655
GRU_deep,recurrent,30,90,0.001187,0.0012,0.001314,101655
GRU_deep,recurrent,90,1,0.011451,0.011557,0.012423,101655
GRU_deep,recurrent,90,5,0.005015,0.005224,0.006253,101655
GRU_deep,recurrent,90,30,0.002154,0.002156,0.002342,101655
GRU_deep,recurrent,90,90,0.000993,0.000999,0.001418,101655
